epoch,loss,lr,mean_f_score,val_loss,val_mean_f_score
0,0.501854739766,0.0001,0.75695,0.491273707271,0.747875
1,0.337935163726,0.0001,0.8491125,0.374970867766,0.8288125
2,0.249766752834,0.0001,0.89105,0.325795539286,0.856625
3,0.215018040284,0.0001,0.90925,0.296052730021,0.86903125
4,0.196390770848,0.0001,0.9185375,0.293087856432,0.87790625
5,0.182894274912,0.0001,0.925425,0.275983182477,0.8785625
6,0.169532890015,0.0001,0.9296375,0.269301843415,0.8785625
7,0.158316678574,0.0001,0.9345875,0.297452191477,0.86959375
8,0.153244014326,0.0001,0.9377125,0.240880216468,0.90053125
9,0.144060083365,0.0001,0.942275,0.252071515566,0.898375
10,0.139799569983,0.0001,0.9441,0.255213980352,0.90559375
11,0.135854783294,0.0001,0.9449375,0.2849794929,0.8926875
