epoch,loss,lr,mean_f_score,val_loss,val_mean_f_score
0,0.0629498778414,1e-06,0.9738,0.292622637614,0.92734375
1,0.062295236521,1e-06,0.9729375,0.289863194779,0.92728125
2,0.0628907519894,1e-06,0.97385,0.287177967608,0.9269375
3,0.0629324473442,1e-06,0.973375,0.303310222654,0.92678125
4,0.0618199397094,1e-06,0.974375,0.304793460949,0.9274375
5,0.060985601492,2e-07,0.9737125,0.30410572314,0.92828125
6,0.0624381374103,2e-07,0.9741375,0.309367667038,0.9259375
7,0.0623019148677,2e-07,0.9743,0.312033216107,0.926125
8,0.0611993444372,2e-07,0.9741625,0.300805276546,0.92809375
9,0.0626494677154,2e-07,0.9739625,0.285498771361,0.929375
10,0.0613319930832,2e-07,0.974675,0.303122519965,0.92684375
11,0.062539832267,2e-07,0.973825,0.296829503516,0.92796875
12,0.0612944083249,2e-07,0.9742375,0.306652326337,0.92675
13,0.0601156263747,2e-07,0.97445,0.285062097443,0.93009375
14,0.0604598695977,2e-07,0.97445,0.294737062458,0.92778125
15,0.0619008565496,2e-07,0.973625,0.293365093097,0.92725
16,0.0626839444766,2e-07,0.973525,0.280014777472,0.931
17,0.0627940453774,2e-07,0.9736375,0.28720824004,0.9286875
18,0.0595646636637,2e-07,0.9751375,0.29106462751,0.9295625
19,0.0601220771713,2e-07,0.975,0.292914652617,0.92740625
20,0.0617301871859,2e-07,0.97415,0.286358416108,0.9281875
21,0.0581931764355,4e-08,0.9756125,0.298180806748,0.9276875
22,0.059809646307,4e-08,0.9743875,0.295627465074,0.92759375
23,0.0604158363511,4e-08,0.9745625,0.295300180238,0.927875
24,0.0623435540158,8e-09,0.9736125,0.280652583177,0.92946875
